,,Blank,,,,2017.11.01,,0,0,0,,-3.902097702,10.48243427,24.51174355,0.094376519,0.080302104,-0.072482847,-0.048456244,0.06061928,0.0123,0.22817111,-0.095200002,-0.560000002,,6.131207943,5.339967728,,1.639999986,,-9999
,,FB,,,,2019.02.08,,0.232099995,0,0,,,,24.15372658,,,,,,,,,,,,,,,,
,,AB,,,,2018.05.18,,0,0,0,,-15.31159306,,23.96222878,-0.013219715,0.307630509,-0.030882105,0.07900238,0.254815519,0.842999995,-0.021859298,-0.225999996,-0.296000004,,5.477546692,,,1.25,,
,,FB,,,,2018.07.18,,0,0,0,,,,23.87896729,,,,,,,,,,,,,,,,
,,AB,,,,2019.04.26,,0.599799991,0,0,,14.21123981,,23.84566307,0.052288614,0.212132931,-0.05773928,-0.093777202,-0.155340061,0.731000006,0.013844622,-0.144999996,-0.131999999,,5.519646645,5.6713624,,1.919999957,,
,,AB,,,,2019.06.10,,0,0,0,,12.40952969,,23.67081833,0.296627194,0.326540917,0.110041909,-0.12016619,0.133801445,0.51700002,0.231630802,-0.048500001,-0.108000003,,5.63207674,5.683897972,,1.649999976,,
,,AB,,,,2018.08.01,,0,0,0,,11.30712223,,22.51350403,0.215837166,0.170280427,-0.002746546,0.253496915,-0.089110605,0.328000009,0.606727362,-0.238000005,-0.878000021,,5.494552612,,,1.460000038,,
,,AB,,,,2018.05.25,,0,0,0,,4.355698109,,21.82244682,0.018863646,0.597830951,0.001051188,-0.067857683,0.276590347,-0.093699999,0.550493419,-0.314999998,-0.230000004,,5.643861771,,,1.309999943,,
,,Blank,,,0,2019.02.19,,24.15749931,12.9751997,9.355199814,,5.751190186,13.5380764,20.78169632,0.308588952,2.274799347,0.057278965,0.154071808,0.282419652,-0.188999996,1.540918231,0.180999994,0.0832,,5.447132587,5.202647686,,2.170000076,,
,,FB,,,,2019.07.11,,0,0,0,,,,19.92411804,,,,,,,,,,,,,,,,
,,FB,,,,2019.05.23,,0,0,0,,,,19.8991394,,,,,,,,,,,,,,,,
,,AB,,,,2018.11.30,,0,0,0,,1.148732066,,19.71596718,-0.09259861,0.189964309,0.012835438,0.107441597,0.084963813,0.130999997,0.166578546,0.062799998,-0.240999997,,5.580133438,5.243878841,,0.920000017,,
,,Blank,,,,2018.07.19,,0,0,1.260800004,,-20.63645744,2.173085928,18.94997597,0.227766931,0.871409535,0.027681906,0.034237936,0.118110649,-2,1.919561267,-0.233999997,-0.986000001,,5.546623707,5.920162201,,1.049999952,,
,,AB,,,,2019.11.13,,0,0,1.640699983,,2.771520853,,18.52535057,0.035992265,0.353635222,0.003869802,0.192535922,0.473946631,0.939999998,0.044685636,-0.087200001,-0.215000004,,5.649125576,5.780371666,,0.800000012,,
,,AB,,,,2019.05.10,,0,0,0,,-14.28889084,,18.50037193,-0.139885962,-0.264390647,-0.078721665,-0.202348694,-0.055885274,-0.328999996,0.10333287,-0.059999999,-0.111000001,,5.529991627,5.694397926,,1.730000019,,
,,FB,,,,2018.02.15,,0,0,0,,,,18.45041656,,,,,,,,,,,,,,,,
,,Blank,,,,2019.11.21,,0,0,0,,-0.192172885,1.448724031,18.30887413,0.146254674,0.050704934,0.101907849,0.251310855,0.029307758,,0.115955375,-0.022399999,-0.239999995,,5.647998333,5.741613865,,1.25,,
,,Blank,,,,2018.09.12,,0,0,0,,-16.11771011,9.966221809,17.39301491,0.105977684,4.448047161,0.11886625,-0.042614736,0.140964061,-0.059300002,2.751444817,0.194000006,-0.219999999,,5.615738869,5.678161144,,0.939999998,,
,,FB,,,,2018.11.08,,0,0,0,,,,17.38468742,,,,,,,,,,,,,,,,
,,AB,,,,2019.02.15,,0,0,0,,-12.1911974,,17.25979805,-0.001546812,0.639561892,0.014849877,-0.018096393,-0.028058443,-0.246000007,0.403585523,0.162,0.092799999,,5.433001041,5.220715046,,2.269999981,,
,,Blank,,,,2017.12.06,,0,0,1.525500059,,-14.74225807,10.47410774,16.74358559,0.033450902,0.068482429,0.015788751,0.196841612,0.104995459,-0.289000005,0.308366954,-0.054000001,0.259000003,,5.532614708,5.64481163,,1.120000005,,
,,Blank,,,0,2019.11.12,,0.335399985,0,0,,-21.44770622,0,16.46050262,0.016367432,0.370605856,0.062215172,0.017319962,0.092683248,0.583999991,0.093532339,-0.0766,-0.203999996,,5.603863239,5.892776012,,0.860000014,,
,,Blank,,,,2019.07.08,,0,0,0,,18.20342827,1.581940055,16.41887283,0.423515022,0.066397868,0.001837899,-0.051497735,-0.100999244,0.541000009,0.177178338,-0.020500001,-0.266000003,,5.655622482,5.865939617,,1.820000052,,
,,FB,,,,2020.02.13,,0,0,0,,,,16.19407082,,,,,,,,,,,,,,,,
,,Blank,,,,2019.07.23,,0,0,0,,-26.97916603,0.890882015,15.96926785,0.040839218,0.046220414,-0.109129913,-0.181293935,0.007402521,0.978999972,0.071858816,0.104000002,-0.36500001,,5.492966652,5.791093349,,2.019999981,,
,,Blank,,,0,2020.02.03,,0,0,0,,,5.428552151,15.70283604,0.092709094,0.178149924,0.2579211,-0.137433246,-0.18995671,,0.00472578,-0.209999993,-0.118000001,,,,,,,
,,FB,,,,2018.04.13,,-9999,-9999,-9999,,,,15.46138191,,,,,,,,,,,,,,,,
,,Blank,,,0,2019.11.05,,0,0,1.758000016,,-19.09964561,6.685778141,14.81195354,0.066831581,0.1211458,-0.005172901,-0.034051213,0.007567305,0.00342,0.065369584,-0.111000001,-0.368999988,,5.553283215,5.716776848,,1.320000052,,
,,Blank,,,,2019.05.20,,0.160699993,0,0,,-1.403347373,3.813308001,14.32071972,-0.251709014,-0.065349147,0.136491776,-0.121949375,0.017170917,0.584999979,0.106791407,-0.024,-0.195999995,,5.558585167,5.761380196,,1.379999995,,
,,FB,,,,2018.03.02,,0,0,0.890600026,,,,13.92107201,,,,,,,,,,,,,,,,
,,FB,,,,2017.11.06,,0,0,0,,,,13.87111568,,,,,,,,,,,,,,,,
,,Blank,,,,2017.12.07,,0,0,2.278000116,,-26.23324585,10.82380009,13.63798809,-0.01831015,0.231080696,0.019325562,0.12638779,0.101130068,-0.0744,0.514649391,-0.048500001,-0.0276,,5.544315338,5.756842613,,1.110000014,,
,,FB,,,,2017.10.23,,0,0,0,,,,13.27164364,,,,,,,,,,,,,,,,
,,AB,,,,2018.04.13,,0.5255,0,0,,14.32655334,,12.88864803,0.031814735,0.311126292,0.005898043,0.204006672,0.282187074,-0.142000005,0.440725476,-0.245000005,-0.421000004,,5.511778355,5.808937073,,1.470000029,,
,,AB,,,,2020.02.06,,0,0,0,,,,11.36499023,0.092247829,0.051749166,0.221052036,-0.181221485,-0.166834652,,-0.004597162,-0.193000004,-0.160999998,,,,,,,
,,Blank,,,,2017.11.08,,0,0,0,,-32.32453918,12.60556412,10.90705967,-0.014468873,0.819166958,-0.050421439,0.06154687,-0.102763273,0.654999971,1.245811343,-0.202000007,-0.874000013,,5.550032139,5.960933208,,0.939999998,,0.01
,,AB,,,,2017.11.27,,0,0,0,,-0.308191389,,10.45745564,0.051046986,-0.238939449,-0.0021968,-0.124609873,0.115624689,-1.039999962,0.072149642,0.0583,-0.412999988,,5.686778069,,,0.779999971,,
